Region/country,Youth male population (thousands),Youth female population (thousands),Adult male population (thousands),Adult female population (thousands)
Sudan,3707,3630.8,7129,7300.8
Tunisia,981.9,936.3,3119.8,3311.5
Burundi,990.1,1049.1,1706.2,1751.1
Comoros,66.3,64.6,141,143
Eritrea,621,610.8,1088.1,1168.8
Ethiopia,9606.9,9453.7,16191,16766.5
Kenya,4310.6,4297.8,8032.7,8243.4
Madagascar,2256.2,2265.2,4062.8,4186.7
Malawi,1645.9,1627.2,2669.8,2735
Mauritius,98.9,97.5,387.1,406
Mozambique,2432.8,2452.3,4143.4,4736.6
Rwanda,1098,1157.4,2001.7,2209.7
Reunion,71.7,68.3,241.5,264.8
Somalia,985.6,984.9,1657.5,1739.9
Tanzania,4666.3,4648.6,8423.9,8612.5
Uganda,3673.9,3659.6,5667.2,5701.9
Zambia,1378.6,1391.2,2352.8,2375
Zimbabwe,1583.5,1601.8,2413.8,2602.1
Angola,2004.4,2033,3345,3531.3
Cameroon,2235.9,2217.7,3902.9,3995.3
Central African Republic,459.9,469.1,863.8,919.3
Chad,1248.9,1236.5,1938,1985.1
Congo,407.3,405,835.7,851.6
Congo (Democratic Republic of),6542,6519.7,11234,11768.8
Equatorial Guinea,72,71.2,161,145.2
Gabon,161.7,158,341.2,343.2
Botswana,223.8,220.9,441.8,441.1
Lesotho,243.3,236.2,387.3,430.7
Namibia,244.1,247.5,437.1,504.1
South Africa,4984.9,5026.8,12651.8,14255.2
Swaziland,150.9,148.6,219.8,243.3
Benin,997.2,997.8,1831.8,1907
Burkina Faso,1673.3,1624.3,2678.4,2967.8
Cape Verde,57.2,55.1,113.8,119.1
Cote d'Ivoire,1984.8,1950.3,3996.8,3677.4
Gambia,173.7,177.6,297.9,319.8
Ghana,2575.5,2514.9,4987.7,5498.7
Guinea,1150.3,1128.2,2132.9,2178.1
Guinea-Bissau,164.8,165,316.3,326.2
Liberia,403.3,392.5,786.1,804.2
Mali,1452.5,1385.9,2463.5,2550.1
Mauritania,376.3,364.5,759.3,769.4
Niger,1459,1550.8,2800.1,2770
Nigeria,16416.1,15634.4,31265.9,30856
Senegal,1390.2,1386,2314.9,2658.3
Sierra Leone,583.9,585.3,1137.6,1176.6
Togo,669.1,667.8,1211.9,1311.3
