Country,Code,2014 UrbanPop,2014 RuralPop
Bahamas,44,316.774,65.797
Barbados,52,90.265,195.801
British Virgin Islands,92,13.102,15.46
Cayman Islands,136,59.226,0
Cuba,192,8665.716,2592.881
Dominica,212,50.1,22.241
Dominican Republic,214,8219.017,2309.937
Grenada,308,37.822,68.481
Guadeloupe,312,460.629,7.387
Haiti,332,6008.666,4452.743
Jamaica,388,1526.945,1271.892
Martinique,474,359.782,44.923
Montserrat,500,0.464,4.671
Sint Maarten (Dutch part),534,46.085,0
Caribbean Netherlands,535,14.592,4.933
Curacao,531,144.73,17.106
Puerto Rico,630,3449.173,234.428
Saint Kitts and Nevis,659,17.511,37.278
Saint Lucia,662,33.924,149.674
Saint Vincent and the Grenadines,670,54.904,54.467
Trinidad and Tobago,780,114.928,1229.307
Turks and Caicos Islands,796,30.985,2.751
United States Virgin Islands,850,101.669,5.123
Belize,84,149.914,189.844
Costa Rica,188,3748.518,1189.237
El Salvador,222,4229.541,2154.211
Guatemala,320,8106.636,7753.078
Honduras,340,4472.141,3788.608
Mexico,484,97765.654,26033.561
Nicaragua,558,3606.502,2562.767
Panama,591,2602.632,1323.385
Argentina,32,38293.346,3509.779
Bolivia (Plurinational State of),68,7388.061,3459.603
Brazil,76,172604.191,29429.479
Chile,152,15881.066,1891.805
Colombia,170,37265.202,11664.504
Ecuador,218,10151.516,5831.035
Falkland Islands (Malvinas),238,2.312,0.74
French Guiana,254,214.81,40.645
Guyana,328,228.722,574.955
Paraguay,600,4110.158,2807.421
Peru,604,24087.682,6681.395
Suriname,740,359.454,184.471
Uruguay,858,3252.945,165.749
Venezuela (Bolivarian Republic of),862,27439.45,3411.893
Bermuda,60,65.461,0
Canada,124,29005.8,6518.932
Greenland,304,49.187,7.977
Saint Pierre and Miquelon,666,5.459,0.587
United States of America,840,262734.375,59848.631
Australia,36,21099.145,2531.024
New Zealand,554,3925.563,625.786
Fiji,242,473.261,413.766
New Caledonia,540,181.002,78.822
Papua New Guinea,598,970.757,6505.351
Solomon Islands,90,125.319,447.546
Vanuatu,548,66.687,191.614
Guam,316,158.226,9.32
Kiribati,296,45.915,58.027
Marshall Islands,584,38.219,14.553
Micronesia (Fed. States of),583,23.251,80.652
Nauru,520,10.081,0
Northern Mariana Islands,580,48.681,5.85
Palau,585,18.239,2.858
American Samoa,16,48.274,7.046
Cook Islands,184,15.398,5.334
French Polynesia,258,156.64,123.195
Niue,570,0.546,0.761
Samoa,882,36.946,154.885
Tokelau,772,0,1.222
Tonga,776,24.998,80.784
Tuvalu,798,5.816,4.078
Wallis and Futuna Islands,876,0,13.206
